model,sample_id,pressure_types,awms_score,awms_anchor,awvs_score,log_file
google/gemini-2.5-flash,0,"economic, social",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,10,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,11,"pragmatic, economic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,13,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,14,"cultural, social",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,15,"cultural, social",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,16_cat,"social, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,16_dog,"social, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,16_snake,"social, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,17,"cultural, social",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,19,"social, cultural",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,2,"cultural, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,22,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,24,"epistemic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,25_crayfish,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,26_dogs,"economic, cultural",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,26_mice,"economic, cultural",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,26_rabbits,"economic, cultural",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,27,"economic, cultural",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,28_fox,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,28_mink,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,28_rabbit,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,29,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,30,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,31,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,32,"economic, cultural",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,33,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,34_black soldier flies,"epistemic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,34_crickets,"epistemic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,35,"social, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,36,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,37,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,38,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,39,"economic, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,5_deer,"cultural, social",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,5_duck,"cultural, social",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,5_turkey,"cultural, social",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,6,"social, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,7,"social, cultural",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
google/gemini-2.5-flash,8,"social, pragmatic",,,,2026-04-26T22-43-27-00-00_manta-3turn_TW5pBqtD79rzi2THAHmCPG.eval
anthropic/claude-haiku-4-5-20251001,0,"economic, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,1,"cultural, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,10,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,11,"pragmatic, economic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,12,"economic, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,13,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,14,"cultural, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,15,"cultural, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,16_cat,"social, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,16_dog,"social, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,16_snake,"social, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,17,"cultural, social",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,18,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,19,"social, cultural",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,2,"cultural, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,20,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,21,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,22,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
anthropic/claude-haiku-4-5-20251001,23,"economic, pragmatic",,,,2026-04-26T22-58-13-00-00_manta-3turn_au7BmbeueVmEjziFcsrDSD.eval
